Title,,Year,Rating,,,Available On,,
Homeland,TV,2011,18+,8.3/10,89/100,+Rent or Buy,1Free Episodes,TrackHave You Seen?AllSomeNoneCancel
The Serpent,TV,2021,N/A,7.7/10,76/100,,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
Futurama,TV,1999,16+,8.4/10,88/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
The X-Files,TV,1993,18+,8.6/10,87/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
Rutherford Falls,TV,2021,16+,6.4/10,64/100,,3Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Intergalactic,TV,2021,N/A,3.9/10,54/100,,1Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Curb Your Enthusiasm,TV,2000,18+,8.7/10,86/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
Star Trek: The Next Generation,TV,1987,7+,8.6/10,86/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
Sesame Street,TV,1969,all,8.1/10,74/100,+Rent or Buy,8Free Episodes,TrackHave You Seen?AllSomeNoneCancel
The Backyardigans,TV,2004,7+,6.9/10,60/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
Broadchurch,TV,2013,18+,8.4/10,86/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
Law & Order,TV,1990,16+,7.7/10,73/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
12 Monkeys,TV,2015,16+,7.7/10,81/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
Mr Inbetween,TV,2018,18+,8.4/10,77/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
House,TV,2004,16+,8.7/10,92/100,+Rent or Buy,10Free Episodes,TrackHave You Seen?AllSomeNoneCancel
Hannibal,TV,2013,18+,8.5/10,89/100,Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
